DateTime,Severity,Message,Source
"June 27, 2024 01:32:50 AM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"July 05, 2024 08:10:23 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"July 05, 2024 08:10:23 PM UTC",Error,Cannot connect to the PI Data Archive. Windows authentication trial failed because the authentication method was not tried. Trust authentication trial failed because the PI Data Archive does not allow the authentication method. ,OSIsoft-PIDataServices
"July 06, 2024 12:12:23 AM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 06, 2024 12:12:23 AM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 01:55:27 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 01:55:27 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 01:55:27 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 01:55:27 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:12:11 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:12:11 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:12:11 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:12:11 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:40:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:40:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:40:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:40:02 PM UTC",Error,[-10010] PI System Timed Out,OSIsoft-PIDataServices
"July 08, 2024 02:57:39 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:39 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:39 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:39 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:39 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:42 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:44 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:45 PM UTC",Error,[-10733] PINET: RPC Resolver is Off-Line.,OSIsoft-PIDataServices
"July 08, 2024 02:57:45 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"July 08, 2024 02:57:45 PM UTC",Error,[-10723] PINET: No Connection.,OSIsoft-PIDataServices
"July 08, 2024 02:59:00 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 02:59:00 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
"July 08, 2024 02:59:00 PM UTC",Error,[-10727] PINET: RPC is Non-Existent.,OSIsoft-PIDataServices
